function_family_maximum_depth;function_family_beta;function_family_decision_sparsity;function_family_fully_grown;function_family_dt_type;function_family_basic_function_representation_length;function_family_function_representation_length;data_number_of_variables;data_num_classes;data_categorical_indices;data_use_distribution_list;data_random_parameters_distribution;data_max_distributions_per_class;data_exclude_linearly_seperable;data_data_generation_filtering;data_fixed_class_probability;data_weighted_data_generation;data_shift_distrib;data_dt_type_train;data_maximum_depth_train;data_decision_sparsity_train;data_function_generation_type;data_distribution_list;data_distribution_list_eval;data_objective;data_x_max;data_x_min;data_x_distrib;data_lambda_dataset_size;data_number_of_generated_datasets;data_noise_injected_level;data_noise_injected_type;data_data_noise;data_distrib_param_max;lambda_net_epochs_lambda;lambda_net_early_stopping_lambda;lambda_net_early_stopping_min_delta_lambda;lambda_net_batch_lambda;lambda_net_dropout_lambda;lambda_net_lambda_network_layers;lambda_net_use_batchnorm_lambda;lambda_net_optimizer_lambda;lambda_net_loss_lambda;lambda_net_number_of_lambda_weights;lambda_net_number_initializations_lambda;lambda_net_number_of_trained_lambda_nets;i_net_dense_layers;i_net_dropout;i_net_hidden_activation;i_net_optimizer;i_net_learning_rate;i_net_separate_weight_bias;i_net_convolution_layers;i_net_lstm_layers;i_net_additional_hidden;i_net_loss;i_net_metrics;i_net_epochs;i_net_early_stopping;i_net_batch_size;i_net_interpretation_dataset_size;i_net_test_size;i_net_evaluate_distribution;i_net_force_evaluate_real_world;i_net_function_representation_type;i_net_normalize_lambda_nets;i_net_optimize_decision_function;i_net_function_value_loss;i_net_data_reshape_version;i_net_nas;i_net_nas_type;i_net_nas_trials;i_net_nas_optimizer;evaluation_number_of_random_evaluations_per_distribution;evaluation_random_evaluation_dataset_size;evaluation_random_evaluation_dataset_distribution;evaluation_per_network_optimization_dataset_size;evaluation_different_eval_data;evaluation_eval_data_description_eval_data_function_generation_type;evaluation_eval_data_description_eval_data_lambda_dataset_size;evaluation_eval_data_description_eval_data_noise_injected_level;evaluation_eval_data_description_eval_data_noise_injected_type;evaluation_eval_data_description_eval_data_number_of_trained_lambda_nets;evaluation_eval_data_description_eval_data_interpretation_dataset_size;computation_load_model;computation_n_jobs;computation_use_gpu;computation_gpu_numbers;computation_RANDOM_SEED;computation_verbosity;deep_dense_layer_block_1/num_layers;deep_dense_layer_block_1/num_units_0;deep_dense_layer_block_1/dropout_0;deep_dense_layer_block_1/activation_0;deep_dense_layer_block_1/num_units_1;deep_dense_layer_block_1/dropout_1;deep_dense_layer_block_1/activation_1;deep_dense_layer_block_1/num_units_2;deep_dense_layer_block_1/dropout_2;deep_dense_layer_block_1/activation_2;deep_dense_layer_block_1/num_units_3;deep_dense_layer_block_1/dropout_3;deep_dense_layer_block_1/activation_3;deep_dense_layer_block_1/num_units_4;deep_dense_layer_block_1/dropout_4;deep_dense_layer_block_1/activation_4;optimizer;learning_rate;score
3;1;15;True;SDT;128;128;15;2;[];True;True;1;True;False;False;False;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;2177;1;10000;[1024, 1024, 256, 2048, 2048];[0, 0, 0, 0, 0.3];relu;rmsprop;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;10000;10;True;False;1;False;True;True;None;True;SEQUENTIAL;200;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;2;42;0;1;512;0.0;sigmoid;1797;0.3;sigmoid;1040;0.3;sigmoid;512;0.0;relu;1169;0.0;relu;adam;0.001;0.2239588350057602
3;1;32;True;SDT;247;247;32;2;[];True;True;1;True;False;False;False;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;4353;1;10000;[1024, 1024, 256, 2048, 2048];[0, 0, 0, 0, 0.3];relu;rmsprop;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;10000;10;True;False;1;False;True;True;None;True;SEQUENTIAL;200;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;4;42;0;1;2012;0.1;sigmoid;202;0.0;sigmoid;1287;0.3;sigmoid;843;0.5;tanh;1115;0.1;relu;adam;0.0001;0.11925821751356125
3;1;1;True;vanilla;22;218;15;2;[];True;True;1;True;False;False;False;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;2177;1;10000;[1792, 512, 512];[0, 0, 0.5];sigmoid;adam;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;1000;10;True;False;3;False;True;True;None;True;SEQUENTIAL;1;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;1;42;0;3;512;0.0;relu;512;0.0;tanh;512;0.0;relu;512;0.0;relu;512;0.0;relu;adam;0.001;0.6865977644920349
3;1;1;True;vanilla;22;218;15;2;[];True;True;1;True;False;False;False;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;2177;1;10000;[1792, 512, 512];[0, 0, 0.5];sigmoid;adam;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;1000;10;True;False;3;False;True;True;None;True;SEQUENTIAL;1;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;1;42;0;3;512;0.0;relu;512;0.0;tanh;512;0.0;relu;512;0.0;relu;512;0.0;relu;adam;0.001;0.682369589805603
3;1;1;True;vanilla;22;218;15;2;[];True;True;1;True;False;False;False;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;2177;1;10000;[1792, 512, 512];[0, 0, 0.5];sigmoid;adam;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;1000;10;True;False;3;False;True;True;None;True;SEQUENTIAL;1;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;1;42;0;3;512;0.0;relu;512;0.0;tanh;512;0.0;relu;512;0.0;relu;512;0.0;relu;adam;0.001;0.682369589805603
3;1;1;True;vanilla;22;218;15;2;[];True;True;1;True;False;False;False;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;2177;1;10000;[1792, 512, 512];[0, 0, 0.5];sigmoid;adam;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;1000;10;True;False;3;False;True;True;None;True;SEQUENTIAL;1;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;1;42;0;3;512;0.0;relu;512;0.0;tanh;512;0.0;relu;512;0.0;relu;512;0.0;relu;adam;0.001;0.682369589805603
3;1;1;True;vanilla;22;218;15;2;[];True;True;1;True;False;False;False;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;2177;1;10000;[1792, 512, 512];[0, 0, 0.5];sigmoid;adam;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;1000;10;True;False;3;False;True;True;None;True;SEQUENTIAL;1;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;1;42;0;3;512;0.0;relu;512;0.0;tanh;512;0.0;relu;512;0.0;relu;512;0.0;relu;adam;0.001;0.682369589805603
3;1;1;True;vanilla;22;218;15;2;[];True;True;1;True;False;False;False;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;2177;1;10000;[1792, 512, 512];[0, 0, 0.5];sigmoid;adam;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;1000;10;True;False;3;False;True;True;None;True;SEQUENTIAL;1;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;1;42;0;3;512;0.0;relu;512;0.0;tanh;512;0.0;relu;512;0.0;relu;512;0.0;relu;adam;0.001;0.682369589805603
3;1;1;True;vanilla;22;218;15;2;[];True;True;1;True;False;False;False;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;2177;1;10000;[1792, 512, 512];[0, 0, 0.5];sigmoid;adam;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;1000;10;True;False;3;False;True;True;None;True;SEQUENTIAL;1;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;1;42;0;3;512;0.0;relu;512;0.0;tanh;512;0.0;relu;512;0.0;relu;512;0.0;relu;adam;0.001;0.682369589805603
3;1;1;True;vanilla;22;218;15;2;[];True;True;1;True;False;False;False;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;2177;1;10000;[1792, 512, 512];[0, 0, 0.5];sigmoid;adam;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;1000;10;True;False;3;False;True;True;None;True;SEQUENTIAL;1;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;1;42;0;3;512;0.0;relu;512;0.0;tanh;512;0.0;relu;512;0.0;relu;512;0.0;relu;adam;0.001;0.682369589805603
