,index_0=aggregated,scoreOnClassfication_BaseModel,scoreOnClassfication_PredictedModel,tp,fn,fp,tn,precision,recall,f1
65,20,0.998,0.988,494,6,0,0,1.0,0.988,0.993963782696177
66,20,0.996,0.994,497,2,1,0,0.9979919678714859,0.9959919839679359,0.9969909729187563
67,20,0.998,0.966,483,16,1,0,0.9979338842975206,0.9679358717434869,0.9827060020345879
68,20,0.998,0.984,492,7,1,0,0.9979716024340771,0.9859719438877755,0.9919354838709677
69,20,1.0,0.992,496,4,0,0,1.0,0.992,0.9959839357429718
70,20,0.994,0.98,490,6,4,0,0.9919028340080972,0.9879032258064516,0.98989898989899
71,20,1.0,0.972,486,14,0,0,1.0,0.972,0.9858012170385395
72,20,1.0,0.996,498,2,0,0,1.0,0.996,0.9979959919839679
73,20,1.0,0.956,478,22,0,0,1.0,0.956,0.9775051124744376
74,20,1.0,0.98,490,10,0,0,1.0,0.98,0.98989898989899
75,20,0.974,0.952,476,4,20,0,0.9596774193548387,0.9916666666666667,0.9754098360655739
76,20,1.0,0.934,467,33,0,0,1.0,0.934,0.9658738366080661
77,20,1.0,0.966,483,17,0,0,1.0,0.966,0.982706002034588
78,20,0.984,0.982,491,2,7,0,0.9859437751004017,0.9959432048681541,0.9909182643794147
79,20,0.986,0.976,488,6,6,0,0.9878542510121457,0.9878542510121457,0.9878542510121457
80,20,0.988,0.972,486,10,4,0,0.9918367346938776,0.9798387096774194,0.9858012170385396
81,20,0.998,0.978,489,10,1,0,0.9979591836734694,0.9799599198396793,0.9888776541961577
82,20,1.0,0.976,488,12,0,0,1.0,0.976,0.9878542510121457
83,20,1.0,0.978,489,11,0,0,1.0,0.978,0.9888776541961577
84,20,0.994,0.982,491,7,2,0,0.9959432048681541,0.9859437751004017,0.9909182643794147
85,20,1.0,0.982,491,9,0,0,1.0,0.982,0.9909182643794148
86,20,0.998,0.95,475,24,1,0,0.9978991596638656,0.9519038076152304,0.9743589743589743
87,20,0.998,0.976,488,11,1,0,0.9979550102249489,0.9779559118236473,0.9878542510121457
88,20,0.996,0.992,496,3,1,0,0.9979879275653923,0.9939879759519038,0.995983935742972
89,20,0.996,0.988,494,5,1,0,0.997979797979798,0.9899799599198397,0.993963782696177
90,20,0.994,0.98,490,6,4,0,0.9919028340080972,0.9879032258064516,0.98989898989899
91,20,0.986,0.978,489,4,7,0,0.9858870967741935,0.9918864097363083,0.9888776541961577
92,20,0.994,0.962,481,19,0,0,1.0,0.962,0.9806320081549439
93,20,0.996,0.986,493,5,2,0,0.9959595959595959,0.9899598393574297,0.9929506545820745
94,20,0.998,0.99,495,4,1,0,0.9979838709677419,0.9919839679358717,0.9949748743718592
95,20,0.998,0.966,483,16,1,0,0.9979338842975206,0.9679358717434869,0.9827060020345879
96,20,0.998,0.976,488,12,0,0,1.0,0.976,0.9878542510121457
97,20,0.996,0.996,498,0,2,0,0.996,1.0,0.9979959919839679
98,20,0.998,0.98,490,10,0,0,1.0,0.98,0.98989898989899
99,20,0.998,0.996,498,2,0,0,1.0,0.996,0.9979959919839679
100,20,0.982,0.98,490,3,7,0,0.9859154929577465,0.9939148073022313,0.98989898989899
101,20,0.998,0.986,493,6,1,0,0.9979757085020243,0.9879759519038076,0.9929506545820747
102,20,1.0,0.984,492,8,0,0,1.0,0.984,0.9919354838709677
103,20,0.976,0.976,488,2,10,0,0.9799196787148594,0.9959183673469387,0.9878542510121457
104,20,0.996,0.994,497,2,1,0,0.9979919678714859,0.9959919839679359,0.9969909729187563
105,20,1.0,0.988,494,6,0,0,1.0,0.988,0.993963782696177
106,20,0.994,0.984,492,7,1,0,0.9979716024340771,0.9859719438877755,0.9919354838709677
107,20,0.998,0.988,494,5,1,0,0.997979797979798,0.9899799599198397,0.993963782696177
108,20,0.99,0.972,486,10,4,0,0.9918367346938776,0.9798387096774194,0.9858012170385396
109,20,0.998,0.954,477,22,1,0,0.997907949790795,0.9559118236472945,0.9764585465711361
110,20,1.0,0.954,477,23,0,0,1.0,0.954,0.9764585465711361
111,20,1.0,0.992,496,4,0,0,1.0,0.992,0.9959839357429718
112,20,0.996,0.92,460,36,4,0,0.9913793103448276,0.9274193548387096,0.9583333333333333
113,20,1.0,0.986,493,7,0,0,1.0,0.986,0.9929506545820745
114,20,1.0,0.986,493,7,0,0,1.0,0.986,0.9929506545820745
115,20,0.998,0.996,498,2,0,0,1.0,0.996,0.9979959919839679
116,20,0.998,0.968,484,15,1,0,0.9979381443298969,0.969939879759519,0.9837398373983739
117,20,0.994,0.978,489,8,3,0,0.9939024390243902,0.9839034205231388,0.9888776541961577
118,20,0.972,0.966,483,5,12,0,0.9757575757575757,0.9897540983606558,0.982706002034588
119,20,0.998,0.996,498,1,1,0,0.9979959919839679,0.9979959919839679,0.9979959919839679
120,20,1.0,0.972,486,14,0,0,1.0,0.972,0.9858012170385395
121,20,0.948,0.916,458,14,28,0,0.9423868312757202,0.9703389830508474,0.9561586638830898
122,20,0.998,0.984,492,7,1,0,0.9979716024340771,0.9859719438877755,0.9919354838709677
123,20,0.988,0.988,493,2,4,1,0.9919517102615694,0.9959595959595959,0.9939516129032258
124,20,1.0,0.996,498,2,0,0,1.0,0.996,0.9979959919839679
125,20,1.0,0.97,485,15,0,0,1.0,0.97,0.9847715736040609
126,20,0.998,0.968,484,15,1,0,0.9979381443298969,0.969939879759519,0.9837398373983739
127,20,0.986,0.972,486,10,4,0,0.9918367346938776,0.9798387096774194,0.9858012170385396
128,20,0.998,0.99,495,5,0,0,1.0,0.99,0.9949748743718593
129,20,1.0,0.966,483,17,0,0,1.0,0.966,0.982706002034588
130,20,0.994,0.988,494,4,2,0,0.9959677419354839,0.9919678714859438,0.993963782696177
131,20,0.994,0.976,488,9,3,0,0.9938900203665988,0.9818913480885312,0.9878542510121457
132,20,0.992,0.966,482,14,3,1,0.9938144329896907,0.9717741935483871,0.9826707441386342
133,20,1.0,0.994,497,3,0,0,1.0,0.994,0.9969909729187563
134,20,0.996,0.998,499,1,0,0,1.0,0.998,0.998998998998999
135,20,0.996,0.986,493,7,0,0,1.0,0.986,0.9929506545820745
136,20,1.0,0.976,488,12,0,0,1.0,0.976,0.9878542510121457
137,20,0.998,0.99,495,5,0,0,1.0,0.99,0.9949748743718593
138,20,0.998,0.994,497,3,0,0,1.0,0.994,0.9969909729187563
139,20,0.994,0.958,479,18,3,0,0.9937759336099585,0.9637826961770624,0.9785495403472931
140,20,0.998,0.972,486,13,1,0,0.997946611909651,0.9739478957915831,0.9858012170385395
141,20,1.0,0.988,494,6,0,0,1.0,0.988,0.993963782696177
142,20,0.992,0.978,488,9,2,1,0.9959183673469387,0.9818913480885312,0.9888551165146909
143,20,1.0,0.998,499,1,0,0,1.0,0.998,0.998998998998999
144,20,0.998,0.994,497,2,1,0,0.9979919678714859,0.9959919839679359,0.9969909729187563
145,20,0.992,0.974,487,10,3,0,0.9938775510204082,0.9798792756539235,0.9868287740628167
146,20,0.988,0.97,485,6,9,0,0.9817813765182186,0.9877800407331976,0.984771573604061
147,20,0.998,0.99,495,4,1,0,0.9979838709677419,0.9919839679358717,0.9949748743718592
148,20,0.986,0.958,479,15,6,0,0.9876288659793815,0.9696356275303644,0.9785495403472931
149,20,1.0,0.996,498,2,0,0,1.0,0.996,0.9979959919839679
150,20,0.998,0.982,491,8,1,0,0.9979674796747967,0.9839679358717435,0.9909182643794147
151,20,0.994,0.99,495,2,3,0,0.9939759036144579,0.9959758551307847,0.9949748743718593
152,20,0.992,0.99,495,4,1,0,0.9979838709677419,0.9919839679358717,0.9949748743718592
153,20,0.998,0.99,495,5,0,0,1.0,0.99,0.9949748743718593
154,20,1.0,1.0,500,0,0,0,1.0,1.0,1.0
155,20,1.0,0.99,495,5,0,0,1.0,0.99,0.9949748743718593
156,20,1.0,1.0,500,0,0,0,1.0,1.0,1.0
157,20,1.0,0.996,498,2,0,0,1.0,0.996,0.9979959919839679
158,20,1.0,0.982,491,9,0,0,1.0,0.982,0.9909182643794148
159,20,0.998,0.982,491,8,1,0,0.9979674796747967,0.9839679358717435,0.9909182643794147
160,20,0.998,0.972,486,13,1,0,0.997946611909651,0.9739478957915831,0.9858012170385395
161,20,1.0,0.994,497,3,0,0,1.0,0.994,0.9969909729187563
162,20,1.0,0.988,494,6,0,0,1.0,0.988,0.993963782696177
163,20,1.0,0.988,494,6,0,0,1.0,0.988,0.993963782696177
164,20,0.99,0.962,481,15,4,0,0.9917525773195877,0.969758064516129,0.9806320081549439
165,20,0.998,0.996,498,1,1,0,0.9979959919839679,0.9979959919839679,0.9979959919839679
166,20,1.0,0.996,498,2,0,0,1.0,0.996,0.9979959919839679
167,20,1.0,0.978,489,11,0,0,1.0,0.978,0.9888776541961577
168,20,1.0,0.978,489,11,0,0,1.0,0.978,0.9888776541961577
169,20,0.996,0.998,499,0,1,0,0.998,1.0,0.998998998998999
