,index_0=aggregated,scoreOnClassfication_BaseModel,scoreOnClassfication_PredictedModel,tp,fn,fp,tn,precision,recall,f1
0,0.0,0.9916156,0.9893258,494.6629,0.0,5.3371,0.0,0.9893258,1.0,0.9945702218586233
1,10.0,0.988,0.988,494.0,0.0,6.0,0.0,0.988,1.0,0.993963782696177
2,10.0,1.0,0.998,499.0,0.0,1.0,0.0,0.998,1.0,0.998998998998999
3,10.0,0.998,0.998,499.0,0.0,1.0,0.0,0.998,1.0,0.998998998998999
4,10.0,0.984,0.936,468.0,0.0,32.0,0.0,0.936,1.0,0.9669421487603307
5,10.0,0.982,0.97,485.0,0.0,15.0,0.0,0.97,1.0,0.9847715736040609
6,10.0,1.0,1.0,500.0,0.0,0.0,0.0,1.0,1.0,1.0
7,10.0,0.976,0.966,483.0,0.0,17.0,0.0,0.966,1.0,0.982706002034588
8,10.0,0.992,0.984,492.0,0.0,8.0,0.0,0.984,1.0,0.9919354838709677
9,10.0,0.992,0.99,495.0,0.0,5.0,0.0,0.99,1.0,0.9949748743718593
10,10.0,0.996,0.992,496.0,0.0,4.0,0.0,0.992,1.0,0.9959839357429718
11,10.0,0.992,0.99,495.0,0.0,5.0,0.0,0.99,1.0,0.9949748743718593
12,10.0,0.986,0.978,489.0,0.0,11.0,0.0,0.978,1.0,0.9888776541961577
13,10.0,0.986,0.984,492.0,0.0,8.0,0.0,0.984,1.0,0.9919354838709677
14,10.0,0.982,0.982,491.0,0.0,9.0,0.0,0.982,1.0,0.9909182643794148
15,10.0,0.992,0.994,497.0,0.0,3.0,0.0,0.994,1.0,0.9969909729187563
16,10.0,1.0,1.0,500.0,0.0,0.0,0.0,1.0,1.0,1.0
17,10.0,1.0,1.0,500.0,0.0,0.0,0.0,1.0,1.0,1.0
18,10.0,0.994,0.988,494.0,0.0,6.0,0.0,0.988,1.0,0.993963782696177
19,10.0,1.0,0.998,499.0,0.0,1.0,0.0,0.998,1.0,0.998998998998999
20,10.0,0.998,0.996,498.0,0.0,2.0,0.0,0.996,1.0,0.9979959919839679
21,10.0,0.994,0.996,498.0,0.0,2.0,0.0,0.996,1.0,0.9979959919839679
22,10.0,1.0,1.0,500.0,0.0,0.0,0.0,1.0,1.0,1.0
23,10.0,1.0,1.0,500.0,0.0,0.0,0.0,1.0,1.0,1.0
24,10.0,0.98,0.984,492.0,0.0,8.0,0.0,0.984,1.0,0.9919354838709677
25,10.0,0.998,0.998,499.0,0.0,1.0,0.0,0.998,1.0,0.998998998998999
26,10.0,0.988,0.986,493.0,0.0,7.0,0.0,0.986,1.0,0.9929506545820745
27,10.0,0.988,0.986,493.0,0.0,7.0,0.0,0.986,1.0,0.9929506545820745
28,10.0,1.0,1.0,500.0,0.0,0.0,0.0,1.0,1.0,1.0
29,10.0,0.968,0.952,476.0,0.0,24.0,0.0,0.952,1.0,0.9754098360655737
30,10.0,0.964,0.974,487.0,0.0,13.0,0.0,0.974,1.0,0.9868287740628165
31,10.0,1.0,1.0,500.0,0.0,0.0,0.0,1.0,1.0,1.0
32,10.0,0.996,0.992,496.0,0.0,4.0,0.0,0.992,1.0,0.9959839357429718
33,10.0,0.996,0.998,499.0,0.0,1.0,0.0,0.998,1.0,0.998998998998999
34,10.0,1.0,1.0,500.0,0.0,0.0,0.0,1.0,1.0,1.0
35,10.0,0.998,0.998,499.0,0.0,1.0,0.0,0.998,1.0,0.998998998998999
36,10.0,0.986,0.99,495.0,0.0,5.0,0.0,0.99,1.0,0.9949748743718593
37,10.0,0.99,0.988,494.0,0.0,6.0,0.0,0.988,1.0,0.993963782696177
38,10.0,0.996,0.996,498.0,0.0,2.0,0.0,0.996,1.0,0.9979959919839679
39,10.0,0.99,0.974,487.0,0.0,13.0,0.0,0.974,1.0,0.9868287740628165
40,10.0,0.994,0.996,498.0,0.0,2.0,0.0,0.996,1.0,0.9979959919839679
41,10.0,0.99,0.992,496.0,0.0,4.0,0.0,0.992,1.0,0.9959839357429718
42,10.0,0.986,0.984,492.0,0.0,8.0,0.0,0.984,1.0,0.9919354838709677
43,10.0,0.998,0.998,499.0,0.0,1.0,0.0,0.998,1.0,0.998998998998999
44,10.0,0.978,0.972,486.0,0.0,14.0,0.0,0.972,1.0,0.9858012170385395
45,10.0,0.99,0.99,495.0,0.0,5.0,0.0,0.99,1.0,0.9949748743718593
46,10.0,0.978,0.972,486.0,0.0,14.0,0.0,0.972,1.0,0.9858012170385395
47,10.0,0.972,0.94,470.0,0.0,30.0,0.0,0.94,1.0,0.9690721649484536
48,10.0,0.998,0.998,499.0,0.0,1.0,0.0,0.998,1.0,0.998998998998999
49,10.0,1.0,1.0,500.0,0.0,0.0,0.0,1.0,1.0,1.0
50,10.0,0.994,0.994,497.0,0.0,3.0,0.0,0.994,1.0,0.9969909729187563
51,10.0,0.998,0.974,487.0,0.0,13.0,0.0,0.974,1.0,0.9868287740628165
52,10.0,0.994,0.996,498.0,0.0,2.0,0.0,0.996,1.0,0.9979959919839679
53,10.0,0.988,0.976,488.0,0.0,12.0,0.0,0.976,1.0,0.9878542510121457
54,10.0,0.982,0.984,492.0,0.0,8.0,0.0,0.984,1.0,0.9919354838709677
55,10.0,1.0,1.0,500.0,0.0,0.0,0.0,1.0,1.0,1.0
56,10.0,1.0,1.0,500.0,0.0,0.0,0.0,1.0,1.0,1.0
57,10.0,1.0,1.0,500.0,0.0,0.0,0.0,1.0,1.0,1.0
58,10.0,0.99,0.984,492.0,0.0,8.0,0.0,0.984,1.0,0.9919354838709677
59,10.0,1.0,1.0,500.0,0.0,0.0,0.0,1.0,1.0,1.0
